uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
AC,Cruzeiro do Sul,Faculdade Educacional da Lapa - FAEL,AC - CRUZEIRO DO SUL - POLO EAD - CENTRO,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,1,,1,,613.14,,675.90,
AC,Rio Branco,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD RIO BRANCO - AC - Bosque Rio Branco,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,360.00,1,,,,598.94,,,
AC,Rio Branco,Centro Universitário Internacional - Uninter - UNINTER,PAP RIO BRANCO - Bosque,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,558.68,
AC,Rio Branco,Faculdade da Amazônia Ocidental - FAAO,CAMPUS - RIO BRANCO - JARDIM PRIMAVERA - Jardim Primavera,Análise e Desenvolvimento de Sistemas,Tecnológico,Vespertino,493.00,1,1,1,1,615.54,574.42,582.66,623.22
AC,Rio Branco,Faculdade da Amazônia Ocidental - FAAO,CAMPUS - RIO BRANCO - JARDIM PRIMAVERA - Jardim Primavera,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,493.00,1,,4,2,579.96,,560.16,548.64
AC,Rio Branco,Faculdade Educacional da Lapa - FAEL,AC - RIO BRANCO - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,1,,1,,589.40,,541.72,
AC,Sena Madureira,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,SENA MADUREIRA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,1,,,,557.62,,,
AL,Arapiraca,Universidade Pitágoras Unopar,ARAPIRACA/AL (3053) - Ouro Preto,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,299.00,1,,,,599.56,,,
AL,Arapiraca,Universidade Tiradentes - UNIT,ARAPIRACA - Alto do Cruzeiro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,267.75,1,1,,,636.24,602.10,,
AL,Delmiro Gouveia,Centro Universitário Internacional - Uninter - UNINTER,PAP DELMIRO GOUVEIA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,546.26,
AL,Maceio,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,MACEIÓ - Farol,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,286.02,1,,,,597.40,,,
AL,Maceio,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD GRUTA - AL - Jaraguá,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,360.00,1,,,,568.98,,,
AL,Maceio,Centro Universitário Internacional - Uninter - UNINTER,PAP MACEIÓ - Tabuleiro do Martins,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,637.08,,,
AL,Maceio,Faculdade Pitágoras de Maceió,UNIDADE SEDE - Cidade Universitária,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,408.00,1,,,,574.24,,,
AL,Maceio,Universidade Tiradentes - UNIT,MACEIÓ BENEDITO BENTES - Benedito Bentes,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,267.75,2,1,,,647.86,606.54,,
AL,Palmeira dos Indios,Centro Universitário Internacional - Uninter - UNINTER,PAP PALMEIRA DOS ÍNDIOS - Paraiso,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,555.46,
AM,Coari,Universidade Paulista - UNIP,COARI - Espírito Santo,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,279.00,1,,,,515.04,,,
AM,Manaus,Centro Universitário do Norte - Uninorte - UNINORTE,UNIDADE DE ENSINO IV - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,797.28,1,,,,614.08,,,
AM,Manaus,Centro Universitário Internacional - Uninter - UNINTER,PAP MANAUS - Chapada,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,2,,,,579.44,
AM,Manaus,Centro Universitário Leonardo da VInci - UNIASSELVI,POLO DE APOIO PRESENCIAL DE MANAUS/AM - Chapada,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,273.00,1,,,,577.54,,,
AM,Manaus,Faculdade Martha Falcão - FMF,FACULDADE MARTHA FALCÃO - Adrianópolis,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,682.43,,,,15,,,561.66,
AM,Manaus,Universidade Paulista - UNIP,MANAUS II - São Geraldo,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,329.00,2,,,,578.10,,,
AM,Manaus,Universidade Paulista - UNIP,MANAUS I - Parque 10 de Novembro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,625.63,5,2,,,620.52,597.84,,
AM,Manaus,Universidade Paulista - UNIP,MANAUS I - Parque 10 de Novembro,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,539.04,2,1,,,609.70,603.94,,
AM,Tabatinga,Faculdade Educacional da Lapa - FAEL,AM - TABATINGA - POLO EAD - SÃO FRANCISCO,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,543.14,
AM,Tabatinga,Universidade Paulista - UNIP,TABATINGA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,309.00,1,,,,450.00,,,
AP,Macapa,Centro Universitário Internacional - Uninter - UNINTER,PAP MACAPÁ - Central,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,2,,587.40,,496.62,
AP,Macapa,Faculdade Educacional da Lapa - FAEL,AP - MACAPÁ - POLO EAD - Pacoval,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,495.76,
AP,Macapa,Universidade Paulista - UNIP,MACAPÁ II - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,289.00,1,,,,650.58,,,
AP,Macapa,Universidade Paulista - UNIP,MACAPÁ I - Jardim Equatorial,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,209.00,5,2,,,582.38,544.40,,
AP,Oiapoque,Centro Universitário Internacional - Uninter - UNINTER,PAP OIAPÓQUE - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,520.64,
AP,Santana,Centro Universitário Internacional - Uninter - UNINTER,PAP SANTANA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,516.90,
BA,Alagoinhas,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - ALAGOINHAS - Santa Isabel,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,531.58,,,
BA,Alagoinhas,Faculdade Educacional da Lapa - FAEL,BA - ALAGOINHAS - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,562.26,
BA,Alagoinhas,Faculdade Regional de Alagoinhas - FARAL,UNIRB-ALAGOINHAS - Alagoinhas Velha,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,580.00,1,,3,1,547.32,,547.06,450.00
BA,Alagoinhas,Faculdade Regional de Alagoinhas - FARAL,UNIRB-ALAGOINHAS - Alagoinhas Velha,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,580.00,2,,3,1,529.60,,570.44,469.12
BA,Alagoinhas,Universidade Pitágoras Unopar,ALAGOINHAS/BA (6954) - Parque José Dória,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,229.00,1,,,,549.10,,,
BA,Alagoinhas,Universidade Tiradentes - UNIT,ALAGOINHAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,267.75,2,,,,549.84,,,
BA,Barreiras,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,BARREIRAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,286.02,1,,,,634.78,,,
BA,Caetite,Centro Universitário Internacional - Uninter - UNINTER,PAP CAETITE - São José,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,266.00,,,1,,,,536.34,
BA,Camacari,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD CAMAÇARI - BA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,360.00,1,,,,578.92,,,
BA,Camacari,Centro Universitário Internacional - Uninter - UNINTER,PAP CAMAÇARI - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,266.00,,,1,,,,549.28,
BA,Catu,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - CATU - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,570.48,,,
BA,Feira de Santana,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD FEIRA DE SANTANA II - BA - Santa Mônica,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,360.00,1,,,,659.70,,,
BA,Feira de Santana,Centro Universitário Internacional - Uninter - UNINTER,PAP FEIRA DE SANTANA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,566.60,
BA,Feira de Santana,Centro Universitário Leonardo da VInci - UNIASSELVI,POLO DE APOIO PRESENCIAL DE FEIRA DE SANTANA/BA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,293.00,4,1,,,631.52,582.18,,
BA,Feira de Santana,Faculdade Educacional da Lapa - FAEL,BA - FEIRA DE SANTANA - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,573.96,
BA,Feira de Santana,Universidade Tiradentes - UNIT,FEIRA DE SANTANA - Ponto Central,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,267.75,2,,,,608.50,,,
BA,Ibiassuce,Centro Universitário Internacional - Uninter - UNINTER,PAP IBIASSUCÊ - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,453.66,
BA,Ilheus,Centro Universitário Internacional - Uninter - UNINTER,PAP ILHÉUS - Pontal,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,597.18,
BA,Ilheus,Universidade Pitágoras Unopar,ILHEUS/BA (3732) - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,209.00,1,,,,607.04,,,
BA,Irece,Faculdade Educacional da Lapa - FAEL,BA - IRECÊ - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,605.50,
BA,Itabuna,Faculdade Educacional da Lapa - FAEL,BA - ITABUNA - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,608.72,
BA,Itapetinga,Universidade Pitágoras Unopar,ITAPETINGA/BA (3158) - Quintas Morumbi,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,239.00,2,,,,597.86,,,
BA,Itiuba,Centro Universitário Internacional - Uninter - UNINTER,PAP ITIUBA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,492.10,
BA,Macaubas,Centro Universitário Internacional - Uninter - UNINTER,PAP MACAÚBAS - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,571.14,,,
BA,Paulo Afonso,Centro Universitário Leonardo da VInci - UNIASSELVI,POLO DE APOIO PRESENCIAL DE PAULO AFONSO/BA - Perpétuo Socorro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,213.00,2,,,,587.66,,,
BA,Remanso,Universidade Pitágoras Unopar,REMANSO/BA (3175) - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,209.00,1,,,,500.38,,,
BA,Salvador,Centro Universitário Jorge Amado - UNIJORGE,CAMPUS COMÉRCIO PREDIO I - Comércio,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,760.14,4,1,,,626.62,610.04,,
BA,Salvador,Estácio Fib - Centro Universitário Estácio da Bahia - Estácio FIB,GILBERTO GIL - STIEP,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,770.00,4,1,,,605.12,608.12,,
BA,Salvador,Faculdade de Gestao e Negocios de Salvador - FGN,FGN SALVADOR PATAMARES - Patamares,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,650.00,3,1,,10,664.60,569.48,461.50,
BA,Salvador,Faculdade de Gestao e Negocios de Salvador - FGN,FGN SALVADOR PATAMARES - Patamares,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,650.00,3,1,,10,594.38,583.52,450.00,
BA,Salvador,Faculdade Educacional da Lapa - FAEL,BA - SALVADOR - POLO EAD - Nazaré,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,585.32,
BA,Salvador,Faculdade Regional da Bahia - FARB,UNIDADE SEDE - Patamares,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,629.00,1,,2,1,570.08,,533.20,517.36
BA,Salvador,Faculdade Regional da Bahia - FARB,UNIDADE SEDE - Patamares,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,629.00,2,,4,1,596.72,,622.80,450.00
BA,Salvador,Faculdade Ruy Barbosa - FRBA,UNIDADE  - SALVADOR - RIO VERMELHO - Rio Vermelho,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,964.81,,,,15,,,523.06,
BA,Salvador,Faculdade São Salvador - FSS,CAMPUS IGUATEMI - Brotas,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,711.55,2,,,60,577.24,,450.00,
BA,Salvador,Faculdade São Salvador - FSS,CAMPUS IGUATEMI - Brotas,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,711.55,2,,,60,585.18,,450.00,
BA,Salvador,Universidade Cidade de São Paulo - UNICID,ICC - INSTITUTO DE CULTURA E CIÊNCIA DA BAHIA (FACIBA - FACULDADE DE CIÊNCIAS DA BAHIA) - Piedade,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,270.28,,,2,,,,499.04,
BA,Salvador,Universidade Paulista - UNIP,SALVADOR IV - Pituba,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,279.00,1,,,,613.12,,,
BA,Santo Antonio de Jesus,Faculdade de Ciências e Empreendedorismo - FACEMP,CAMPUS  - SANTO ANTÔNIO DE JESUS - CENTRO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,588.79,,,,10,,,557.82,
BA,Simoes Filho,Faculdade Educacional da Lapa - FAEL,BA - SIMÕES FILHO - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,525.94,
BA,Teixeira de Freitas,Centro Universitário Internacional - Uninter - UNINTER,PAP TEIXEIRA DE FREITAS - Bela Vista,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,567.92,
BA,Teixeira de Freitas,Centro Universitário Leonardo da VInci - UNIASSELVI,POLO DE APOIO PRESENCIAL TEIXEIRA DE FREITAS/BA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,217.00,1,,,,595.78,,,
BA,Teixeira de Freitas,Faculdade Educacional da Lapa - FAEL,BA - TEIXEIRA DE FREITAS - POLO EAD - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,497.96,
BA,Valenca,Centro Universitário Internacional - Uninter - UNINTER,PAP VALENÇA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,540.38,
BA,Vitoria da Conquista,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE VITÓRIA DA CONQUISTA - Brasil,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,299.00,1,,,,615.28,,,
BA,Vitoria da Conquista,Centro Universitário Internacional - Uninter - UNINTER,PAP VITÓRIA DA CONQUISTA - Jurema,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,1,,,,576.60,
BA,Vitoria da Conquista,Faculdade Educacional da Lapa - FAEL,BA - VITÓRIA DA CONQUISTA - POLO EAD - Recreio,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,596.22,
CE,Fortaleza,Centro Universitário Estácio do Ceará - Estácio Fic - Estácio FIC,MOREIRA CAMPOS - Aldeota,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,684.29,5,3,,,629.96,622.92,,
CE,Fortaleza,Centro Universitário Estácio do Ceará - Estácio Fic - Estácio FIC,PARANGABA - Jóquei Clube,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,627.14,4,2,,,626.38,630.32,,
CE,Fortaleza,Centro Universitário Estácio do Ceará - Estácio Fic - Estácio FIC,PARANGABA - Jóquei Clube,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,598.57,3,1,,,624.06,644.42,,
CE,Fortaleza,Centro Universitário Internacional - Uninter - UNINTER,PAP FORTALEZA - Farias Brito,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,1,,670.56,,627.10,
CE,Fortaleza,Faculdade Ateneu - FATE,UNIDADE ACADÊMICA LAGOA DE MESSEJANA - Messejana,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,461.56,,,7,3,,,588.78,565.56
CE,Fortaleza,Faculdade Ateneu - FATE,UNIDADE ACADÊMICA MONTESE - Montese,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,461.56,,,1,,,,570.28,
CE,Fortaleza,Faculdade de Tecnologia do Nordeste - FATENE,UNIDADE SEDE - Damas,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,510.31,,,1,70,,,520.46,534.64
CE,Fortaleza,Faculdade Educacional da Lapa - FAEL,CE - FORTALEZA - POLO EAD - Meireles,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,325.00,,,1,,,,617.08,
CE,Fortaleza,Faculdade Metropolitana da Grande Fortaleza - FAMETRO,CAMPUS CONSELHEIRO ESTELITA - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,446.00,,,3,2,,,582.20,591.58
CE,Fortaleza,Faculdade Nordeste - FANOR,DUNAS - UNIDADE SEDE - NEAD - Dunas,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,969.10,,,,24,,,489.84,
CE,Fortaleza,Faculdade Nordeste - FANOR,DUNAS - UNIDADE SEDE - NEAD - Dunas,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,969.10,,,,25,,,450.00,
CE,Ico,Faculdade Vale do Salgado - FVS,CAMPUS  - ICÓ - CENTRO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,647.14,1,1,,,615.92,615.58,,
CE,Iguatu,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - IGUATU - Veneza,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,581.44,,,
CE,Juazeiro do Norte,Centro Universitário Doutor Leão Sampaio - Fls - FLS,UNIDADE CRAJUBAR - Triângulo,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,645.49,1,1,,,674.46,596.20,,
CE,Juazeiro do Norte,Centro Universitário Doutor Leão Sampaio - Fls - FLS,UNIDADE CRAJUBAR - Triângulo,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,645.49,3,1,,,645.62,619.02,,
CE,Juazeiro do Norte,Faculdade Paraíso do Ceará - FAP,CAMPUS SÃO MIGUEL - São Miguel,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,660.25,3,2,,,619.66,603.58,,
CE,Limoeiro do Norte,Universidade Paulista - UNIP,LIMOEIRO DO NORTE - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,299.00,1,,,,598.80,,,
CE,Marco,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - MARCO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,570.08,,,
CE,Sao Goncalo do Amarante,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - SÃO GONÇALO DO AMARANTE - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,577.48,,,
CE,Sao Goncalo do Amarante,Faculdade de Tecnologia Ateneu,UNIDADE SEDE - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,379.20,1,,,,591.22,,,
CE,Sobral,Centro Universitário Internacional - Uninter - UNINTER,PAP SOBRAL - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,1,,,,641.72,,,
DF,Brasilia,Centro Universitário Cenecista de Osório - Unicnec - UNICNEC,POLO - BRASÍLIA - Asa Norte,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,333.00,1,,,,509.66,,,
DF,Brasilia,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,BRASILIA - Guará I,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,250.00,,,1,,,,568.98,
DF,Brasilia,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,BRASÍLIA - Asa Sul,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,349.16,1,,,,517.62,,,
DF,Brasilia,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,SANTA MARIA - Santa Maria do Norte,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,393.35,1,,,,628.30,,,
DF,Brasilia,Centro Universitário do Distrito Federal - Udf - UDF,EDIFICIO REITOR REZENDE RIBEIRO DE REZENDE - ASA SUL,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,685.09,1,,1,,625.34,,642.74,
DF,Brasilia,Centro Universitário do Distrito Federal - Udf - UDF,EDIFICIO REITOR REZENDE RIBEIRO DE REZENDE - ASA SUL,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,685.09,2,1,3,3,636.36,602.86,594.44,586.20
